Date,Time,Mode,Category,Subcategory,Type,Amount,Description
2024-01-31,21:08:10,Debit Card,Transport,Gas,Expense,644.89,Magazine paper age physical current note.
2023-03-26,03:14:04,Online Payment,Income,Freelance,Income,4349.68,Size move red join.
2024-06-23,15:43:34,Online Payment,Shopping,Clothes,Expense,1958.75,You eight describe pattern.
2023-04-22,11:35:34,Cash,Utilities,Internet,Expense,1537.65,Sign put take space.
2023-07-24,15:44:17,Debit Card,Transport,Train,Expense,1579.13,Instead smile happen successful human.
2024-04-04,21:25:22,Online Payment,Entertainment,Movie,Expense,1305.92,Public according understand happen begin actually.
2024-05-07,20:08:58,Debit Card,Income,Investment,Income,4149.42,Only world various picture rule.
2023-11-20,12:02:18,Credit Card,Entertainment,Movie,Expense,1628.88,Five admit play avoid few beat.
2022-11-10,10:56:18,Cash,Entertainment,Subscription,Expense,1673.91,Receive wife point fall spring choose power.
2023-07-27,10:20:51,Cash,Utilities,Internet,Expense,590.77,Magazine perform able such.
2024-01-22,07:17:30,Cash,Entertainment,Subscription,Expense,36.4,Method myself cell summer rather.
2023-03-30,07:24:57,Online Payment,Transport,Gas,Expense,1122.07,Continue food whom fast.
2023-06-24,06:08:15,Cash,Transport,Gas,Expense,1749.19,Concern law enough information which join.
2022-08-25,21:43:13,Credit Card,Income,Freelance,Income,4667.53,Gas any manager political keep attack behavior.
2024-02-10,20:32:30,Cash,Income,Investment,Income,4209.2,Power fast job game pressure.
2023-06-27,11:03:53,Cash,Utilities,Water,Expense,31.57,Quickly wind include allow must point.
2023-04-10,17:44:36,Cash,Entertainment,Event,Expense,536.25,Week like mean.
2023-06-04,06:58:21,Credit Card,Utilities,Water,Expense,308.33,Wide method movie painting.
2024-05-19,21:08:42,Debit Card,Transport,Gas,Expense,1934.26,Measure brother approach five.
2022-08-17,17:29:41,Debit Card,Utilities,Electricity,Expense,207.06,Meet adult prepare son.
2023-10-25,17:23:38,Cash,Health,Pharmacy,Expense,874.25,Lot party mother purpose family.
2023-01-16,15:57:46,Credit Card,Transport,Gas,Expense,1724.34,School word year establish generation TV response.
2022-11-01,19:08:24,Online Payment,Shopping,Home Goods,Expense,1201.16,Create day party decade high clear.
2023-12-26,23:09:53,Cash,Transport,Train,Expense,782.31,Bag season short research despite approach beautiful late.
2023-03-08,00:21:30,Online Payment,Utilities,Electricity,Expense,1940.9,Every quality he under body phone.
2023-05-10,14:27:38,Cash,Utilities,Internet,Expense,314.97,Movement similar certainly little.
2024-05-02,06:43:00,Debit Card,Transport,Taxi,Expense,983.65,Money something move race special away.
2022-09-19,12:24:07,Cash,Entertainment,Movie,Expense,1394.1,Reality population pressure.
2024-06-26,16:44:21,Cash,Entertainment,Movie,Expense,573.14,Next week scientist recognize so relationship.
2024-01-24,09:44:37,Credit Card,Shopping,Home Goods,Expense,191.04,Similar myself improve.
2023-05-25,18:52:28,Credit Card,Shopping,Clothes,Expense,1233.12,Operation next black bag wrong indeed.
2023-03-04,13:01:50,Online Payment,Transport,Gas,Expense,1511.7,Management common popular project only.
2023-08-17,23:36:39,Online Payment,Shopping,Electronics,Expense,911.91,Small hair strong reveal future girl character.
2023-02-06,16:03:48,Debit Card,Food,Restaurant,Expense,911.06,Western Congress step you.
2024-05-27,08:01:05,Credit Card,Entertainment,Movie,Expense,1374.17,Charge or put upon rather claim also.
2024-03-27,19:59:00,Online Payment,Transport,Taxi,Expense,1218.3,Seem into dinner both in sea.
2024-01-18,13:20:45,Cash,Food,Restaurant,Expense,676.6,Message become of Republican life field game look.
2023-12-02,04:24:23,Debit Card,Income,Salary,Income,700.0,Rest term tree pass he training one.
2022-11-27,07:48:58,Debit Card,Transport,Train,Expense,1536.72,Production consider state difference stock.
2023-11-07,08:04:48,Debit Card,Health,Gym,Expense,657.25,Star head full thing daughter indicate scientist.
2023-09-28,11:16:02,Debit Card,Transport,Train,Expense,1629.72,Investment course lose since amount suggest.
2022-11-09,06:49:58,Debit Card,Shopping,Electronics,Expense,286.11,Mind race born building.
2023-06-06,22:07:57,Online Payment,Income,Freelance,Income,964.37,Toward claim civil inside friend service push.
2022-08-24,12:15:43,Credit Card,Transport,Train,Expense,1216.33,Current black wide walk.
2022-09-13,01:36:54,Debit Card,Utilities,Internet,Expense,229.94,Act very effort leader.
2023-08-20,22:38:58,Cash,Entertainment,Event,Expense,1604.9,Would family now partner focus.
2024-02-21,00:29:27,Credit Card,Transport,Train,Expense,1431.1,Coach upon project draw seat true listen.
2022-08-24,22:02:51,Cash,Food,Coffee,Expense,548.91,Participant affect better answer.
2022-08-04,00:53:38,Online Payment,Utilities,Water,Expense,1410.76,Treatment figure program after last.
2023-06-13,18:30:26,Online Payment,Entertainment,Movie,Expense,1776.23,Debate ready avoid government interview pass adult.
2022-08-02,00:53:43,Credit Card,Food,Restaurant,Expense,642.59,Own keep really language account early use strategy.
2024-02-12,20:36:51,Online Payment,Shopping,Clothes,Expense,1873.35,Everybody almost hospital realize during write firm.
2023-11-06,23:47:11,Online Payment,Transport,Taxi,Expense,1859.24,Any despite government reveal.
2023-08-28,04:38:51,Debit Card,Transport,Gas,Expense,263.88,Physical sound just learn then.
2023-10-08,17:59:50,Debit Card,Transport,Taxi,Expense,376.33,Nature realize southern street contain relate require.
2023-06-10,14:56:11,Credit Card,Food,Groceries,Expense,906.4,Card board during training decision.
2023-01-21,19:42:03,Debit Card,Health,Doctor,Expense,1686.63,Tend staff name.
2023-07-31,15:41:45,Credit Card,Utilities,Electricity,Expense,1272.45,Base service stand measure.
2022-12-28,14:05:19,Online Payment,Transport,Taxi,Expense,766.4,Culture their perhaps bill gun name ability.
2023-11-21,04:29:52,Online Payment,Income,Investment,Income,1349.52,Participant tree remember recent type rest name.
2024-05-12,11:26:23,Cash,Income,Salary,Income,2558.25,Unit difficult matter police anyone.
2023-05-26,01:07:15,Credit Card,Entertainment,Event,Expense,1231.45,Among fly firm clear foot yard make.
2022-09-03,15:52:03,Online Payment,Food,Coffee,Expense,312.12,Shoulder war film Mr different admit break Republican.
2023-06-20,01:59:27,Credit Card,Income,Freelance,Income,527.92,Fight face region go program address agent life.
2024-06-20,17:31:55,Online Payment,Transport,Bus,Expense,494.01,Beat yourself find available.
2022-08-26,21:50:22,Online Payment,Transport,Gas,Expense,1430.03,Space particular skin pick fine.
2023-10-21,05:26:31,Credit Card,Income,Investment,Income,1142.85,Less mother purpose part maintain study face partner.
2023-01-10,23:30:54,Cash,Shopping,Home Goods,Expense,1087.85,Stock color couple apply ahead thought.
2024-02-27,08:47:40,Cash,Entertainment,Movie,Expense,254.7,Degree federal other activity I you easy.
2022-08-08,16:55:25,Debit Card,Entertainment,Subscription,Expense,899.72,Seek up chance difference.
2023-10-28,06:24:50,Cash,Utilities,Internet,Expense,328.34,Father hospital recent back live environmental.
2022-08-04,16:35:15,Cash,Income,Freelance,Income,3910.83,Fear thus north do film modern write.
2023-02-06,02:17:28,Debit Card,Income,Salary,Income,1083.29,Born baby culture power range statement step.
2023-02-06,21:30:39,Credit Card,Transport,Gas,Expense,516.34,Kind kid peace sing decision my support.
2022-09-20,00:35:20,Cash,Utilities,Water,Expense,1397.74,Pass finally onto black trip.
2022-08-02,04:56:05,Credit Card,Health,Gym,Expense,1662.74,Value institution wait maybe before.
2023-02-23,15:00:13,Debit Card,Shopping,Electronics,Expense,839.64,Level wind finally pretty well list per.
2022-10-15,21:53:11,Online Payment,Income,Investment,Income,2190.15,Difficult player last drive economic or question.
2023-02-14,06:23:06,Cash,Transport,Gas,Expense,1075.23,Front indicate central himself can citizen.
2022-08-07,11:29:59,Cash,Shopping,Clothes,Expense,1751.02,Stop law you well else candidate relationship.
2022-08-06,19:49:18,Online Payment,Health,Gym,Expense,831.81,Factor down learn weight main fly conference.
2023-08-03,11:50:28,Credit Card,Utilities,Water,Expense,315.17,Data guy think.
2022-11-25,10:56:12,Online Payment,Food,Restaurant,Expense,1006.04,Discuss create policy service area her.
2023-02-18,06:55:37,Cash,Utilities,Water,Expense,735.82,Base arm upon one start.
2023-01-01,11:18:21,Debit Card,Shopping,Clothes,Expense,609.3,Much camera spend.
2024-07-08,18:59:34,Online Payment,Shopping,Clothes,Expense,331.53,Civil main also prevent.
2023-10-14,13:31:34,Cash,Utilities,Water,Expense,856.5,There question visit race build decision determine.
2022-11-06,12:43:03,Credit Card,Shopping,Electronics,Expense,540.01,Local land cover deal left skill clear.
2022-12-28,02:08:47,Cash,Entertainment,Event,Expense,546.74,Home yard give film question record.
2023-04-27,03:06:01,Debit Card,Income,Freelance,Income,1364.78,Rock throw anything notice season probably.
2023-09-29,01:37:37,Cash,Income,Freelance,Income,658.49,Perform view agree others throughout attention.
2022-08-02,15:07:02,Online Payment,Utilities,Water,Expense,585.07,Whom remain suggest bill imagine former.
2022-12-15,07:36:23,Debit Card,Income,Freelance,Income,1705.95,Clearly owner statement his station.
2023-08-28,04:05:28,Cash,Health,Pharmacy,Expense,1551.4,Spend best sing laugh.
2024-04-24,06:43:24,Debit Card,Shopping,Electronics,Expense,8.18,Skin world eat matter.
2024-02-26,13:24:42,Credit Card,Food,Restaurant,Expense,956.81,Use friend attack guy address chair.
2023-12-07,08:31:28,Debit Card,Utilities,Electricity,Expense,1957.82,Think sort dream glass raise.
2022-12-28,04:25:00,Cash,Shopping,Home Goods,Expense,1091.6,Operation without method crime major.
2023-04-24,17:09:13,Cash,Food,Coffee,Expense,454.64,Light data language his few dinner.
2023-08-13,00:18:47,Credit Card,Transport,Bus,Expense,1375.13,Social perform run firm best character strong.
2023-07-28,04:18:55,Online Payment,Income,Salary,Income,1580.12,Arrive control section can.
2023-01-09,01:48:11,Cash,Health,Pharmacy,Expense,103.32,Outside future simply finally small.
2023-09-20,12:51:55,Cash,Food,Coffee,Expense,1974.79,Be player thought ready majority peace.
2023-03-13,21:34:17,Debit Card,Income,Salary,Income,1644.08,Size behind section rather check north.
2024-03-23,20:55:45,Online Payment,Transport,Bus,Expense,1936.73,Bad billion film.
2023-05-03,20:04:05,Cash,Utilities,Electricity,Expense,754.22,Local shake dog recognize wish including.
2024-05-08,23:38:28,Debit Card,Shopping,Home Goods,Expense,1682.46,Bank worker finish now.
2022-10-21,03:12:59,Cash,Health,Gym,Expense,586.74,Thing few similar.
2024-05-25,06:45:58,Credit Card,Income,Salary,Income,2339.05,Pressure son time Democrat deal.
2023-10-30,14:33:14,Online Payment,Utilities,Internet,Expense,333.79,Stage stage choice enough very right.
2024-01-22,01:19:25,Online Payment,Food,Coffee,Expense,1193.19,Quickly fall third former watch positive.
2022-12-07,14:27:16,Online Payment,Entertainment,Movie,Expense,1069.25,Some third positive.
2022-10-29,01:40:56,Debit Card,Shopping,Home Goods,Expense,1738.11,What discuss campaign financial.
2022-08-13,23:06:52,Cash,Income,Investment,Income,3829.72,Much practice talk beat support down.
2024-06-07,07:41:44,Credit Card,Food,Coffee,Expense,1732.02,Natural force different stay again partner.
2023-12-28,06:11:59,Cash,Income,Investment,Income,3148.44,Yet politics toward people tell.
2024-05-17,19:38:06,Credit Card,Shopping,Clothes,Expense,1896.85,Well project science understand.
2022-09-22,18:34:04,Online Payment,Utilities,Water,Expense,485.47,Draw boy as.
2022-08-10,13:48:29,Cash,Income,Investment,Income,2630.24,Child from month impact hard.
2022-09-15,18:43:15,Credit Card,Entertainment,Subscription,Expense,1435.01,But for avoid any fear already.
2024-05-25,08:53:39,Credit Card,Entertainment,Event,Expense,1093.53,Health good commercial prevent.
2024-02-14,15:27:11,Debit Card,Transport,Gas,Expense,1488.69,Behavior indeed marriage why law.
2023-08-31,23:09:40,Credit Card,Health,Pharmacy,Expense,290.24,Training several research water behind lose deal.
2023-03-20,03:29:18,Debit Card,Shopping,Clothes,Expense,372.49,Beat mission sound.
2023-01-26,06:51:47,Debit Card,Health,Doctor,Expense,1298.09,Budget that reason run yourself until.
2023-02-26,08:56:17,Online Payment,Utilities,Electricity,Expense,1336.93,Fish relate window term management campaign produce decision.
2023-01-01,11:18:02,Online Payment,Health,Pharmacy,Expense,655.22,Million upon course far far such thus long.
2024-02-07,06:27:08,Cash,Entertainment,Event,Expense,745.09,Degree question above democratic scientist film.
2022-12-24,08:54:08,Online Payment,Food,Groceries,Expense,1817.0,Itself impact fund can beautiful arrive usually.
2022-10-17,13:01:13,Cash,Food,Groceries,Expense,1979.1,Most book another chair.
2024-05-07,19:23:09,Debit Card,Health,Doctor,Expense,1133.06,Air bill parent participant none.
2024-03-26,03:18:50,Cash,Entertainment,Movie,Expense,1417.61,Account join that thing.
2023-10-20,02:00:01,Online Payment,Food,Restaurant,Expense,298.86,Out total black budget certain choose own.
2023-02-24,22:34:36,Online Payment,Health,Pharmacy,Expense,356.33,Employee last total type.
2023-02-03,06:32:33,Cash,Utilities,Internet,Expense,1081.38,New too few know organization information industry customer.
2024-02-05,04:48:00,Debit Card,Health,Gym,Expense,531.83,Prepare none they team after quickly again imagine.
2022-12-12,17:12:02,Debit Card,Shopping,Electronics,Expense,1349.78,Forget board term too item.
2023-03-03,19:42:30,Credit Card,Entertainment,Subscription,Expense,1124.99,Whose white him child by attention.
2022-08-10,14:56:22,Cash,Transport,Taxi,Expense,826.99,Hair level job soon husband ground question himself.
2023-12-01,17:16:53,Debit Card,Shopping,Clothes,Expense,301.68,Yet outside now store over book community.
2022-11-19,00:23:20,Credit Card,Income,Investment,Income,1654.91,Set section identify cause offer three itself.
2024-02-11,00:15:45,Online Payment,Food,Groceries,Expense,640.21,Able daughter take social actually parent middle best.
2024-02-05,20:43:06,Credit Card,Health,Gym,Expense,1579.13,Rule until rich risk him decision.
2024-06-05,07:35:35,Debit Card,Transport,Gas,Expense,832.22,Bill mean point power.
2022-10-02,10:56:44,Cash,Utilities,Water,Expense,1913.0,Physical future why girl chair fund.
2023-01-22,18:51:41,Credit Card,Utilities,Electricity,Expense,263.42,Pm think include how participant.
2023-01-03,11:36:11,Cash,Utilities,Water,Expense,1226.3,Personal can expect catch everybody act gun.
2024-07-07,19:58:37,Cash,Entertainment,Subscription,Expense,913.52,Bring reason PM event wait describe four blood.
2023-07-25,13:23:37,Online Payment,Utilities,Internet,Expense,1831.73,Inside see wait myself before.
2022-10-08,06:33:00,Online Payment,Utilities,Internet,Expense,802.89,Evening suddenly option teach tax year.
2022-11-15,05:44:15,Cash,Health,Gym,Expense,386.89,Increase they hear truth thing store forget.
2023-01-26,03:26:37,Debit Card,Entertainment,Subscription,Expense,1265.65,Fact hit fund room.
2023-12-12,01:36:36,Online Payment,Shopping,Home Goods,Expense,769.48,During leader old series along smile receive.
2023-04-20,01:42:13,Credit Card,Income,Freelance,Income,1424.25,Product not reduce three forget.
2023-12-01,03:55:40,Online Payment,Transport,Gas,Expense,61.37,Father ago kitchen tax throw provide suffer list.
2022-09-10,18:25:13,Debit Card,Income,Investment,Income,3089.32,Public join every option long beat than.
2023-04-09,18:36:02,Debit Card,Income,Freelance,Income,3247.53,Statement finally list finish unit bar.
2022-09-29,12:04:54,Credit Card,Utilities,Electricity,Expense,1065.48,Reach kid three let poor.
2024-06-26,15:18:17,Online Payment,Utilities,Water,Expense,1153.39,Center somebody prevent such.
2023-12-21,03:01:36,Credit Card,Utilities,Internet,Expense,1904.67,Use friend during hot.
2022-09-22,06:01:36,Cash,Health,Doctor,Expense,1841.18,Lay week charge since.
2024-05-14,09:36:52,Credit Card,Health,Doctor,Expense,562.07,Federal specific truth one.
2024-07-01,19:41:17,Online Payment,Transport,Bus,Expense,1249.61,Line news especially since hundred born.
2023-04-22,10:34:47,Cash,Shopping,Home Goods,Expense,1833.39,High far large different listen draw adult.
2022-07-26,21:55:25,Online Payment,Utilities,Water,Expense,773.4,Central world bill social sure light.
2023-03-04,10:14:49,Online Payment,Income,Salary,Income,4781.35,Investment short else instead.
2024-03-30,12:21:27,Cash,Utilities,Internet,Expense,478.23,Officer lot draw pick project.
2023-02-16,04:22:27,Credit Card,Transport,Taxi,Expense,1796.34,Nor can wall two.
2023-02-09,16:36:05,Online Payment,Health,Gym,Expense,500.61,Born culture assume read morning and.
2023-10-20,09:15:36,Online Payment,Entertainment,Movie,Expense,1832.52,Into build either relate discuss finish conference.
2022-08-07,11:08:27,Credit Card,Transport,Bus,Expense,906.59,Crime behind reach.
2024-05-26,04:37:45,Online Payment,Income,Investment,Income,2132.12,Fill mean respond place.
2022-11-10,10:57:49,Credit Card,Health,Pharmacy,Expense,773.84,Together maybe reason ok coach.
2023-05-03,11:27:04,Credit Card,Utilities,Electricity,Expense,1177.62,Morning pay interview.
2024-01-13,03:23:55,Cash,Transport,Bus,Expense,160.76,Imagine story middle weight.
2024-06-08,21:18:32,Debit Card,Utilities,Water,Expense,565.87,Common start college wall.
2022-11-10,06:56:35,Debit Card,Entertainment,Event,Expense,1928.37,Time star political institution individual deal.
2023-05-21,11:11:47,Debit Card,Shopping,Clothes,Expense,1087.9,May visit rich beat rate or.
2023-08-21,18:31:05,Credit Card,Food,Groceries,Expense,1599.48,Front sit your work plant off.
2024-06-04,07:39:17,Cash,Utilities,Internet,Expense,815.51,Test morning article attack fast continue event.
2023-01-14,05:41:18,Credit Card,Shopping,Clothes,Expense,1433.54,Behind number alone join.
2022-09-12,05:47:38,Debit Card,Food,Restaurant,Expense,1157.52,Want affect can doctor interesting religious or participant.
2024-05-05,17:31:16,Cash,Entertainment,Subscription,Expense,1568.16,Deal western list note.
2022-09-17,16:38:07,Cash,Shopping,Home Goods,Expense,897.41,Teach meet themselves leader hear.
2022-10-25,18:39:48,Online Payment,Transport,Bus,Expense,965.21,Magazine mean represent too design.
2024-04-09,00:08:22,Credit Card,Food,Coffee,Expense,381.47,Call seem history nice about easy often all.
2022-10-19,08:02:02,Online Payment,Income,Investment,Income,3371.38,Black reflect win while home deal important.
2022-12-10,16:07:35,Credit Card,Health,Doctor,Expense,632.87,Require likely improve good.
2024-01-31,21:10:55,Credit Card,Income,Investment,Income,2904.94,Father they hear very during.
2022-12-10,20:32:36,Online Payment,Food,Coffee,Expense,545.37,Trouble if example treatment together collection among professor.
2024-06-05,00:08:23,Cash,Income,Salary,Income,2323.22,Them radio face station career wall relationship no.
2022-12-18,16:18:01,Credit Card,Shopping,Clothes,Expense,1366.24,Usually direction campaign Congress push modern young.
2022-10-28,02:29:32,Online Payment,Utilities,Electricity,Expense,1516.4,Out I artist.
2024-04-15,02:57:08,Online Payment,Shopping,Clothes,Expense,1162.6,Him local sing money buy leg still.
2023-03-10,02:24:33,Online Payment,Entertainment,Movie,Expense,1528.6,Machine them career.
2023-12-29,13:31:16,Cash,Health,Doctor,Expense,1243.58,Lead probably base open scene today.
2022-09-11,09:37:48,Debit Card,Utilities,Water,Expense,186.48,Debate front free long hot.
2022-12-05,12:39:57,Cash,Food,Restaurant,Expense,1467.59,Stay machine strong just ability dinner.
2023-10-24,10:38:08,Debit Card,Health,Doctor,Expense,960.15,Before series hotel community.
2024-06-24,12:10:41,Online Payment,Shopping,Electronics,Expense,230.01,Special manager believe day.
2023-03-15,02:07:02,Cash,Entertainment,Event,Expense,926.4,Seek plan one quickly.
2023-08-18,15:21:36,Online Payment,Entertainment,Movie,Expense,576.5,Population process future else establish process.
2022-08-04,14:06:01,Cash,Utilities,Electricity,Expense,1434.24,Accept not you work each scene.
2022-11-30,21:11:23,Cash,Health,Gym,Expense,472.93,Past stage reach story case establish cost buy.
2022-12-28,05:13:42,Cash,Food,Restaurant,Expense,475.45,Especially like practice century.
2023-04-07,05:54:25,Cash,Shopping,Clothes,Expense,1466.97,Analysis affect task trip already.
2023-01-26,07:52:44,Cash,Entertainment,Event,Expense,1505.04,Black president heart follow game good fish money.
2023-03-02,22:32:16,Credit Card,Utilities,Electricity,Expense,335.14,Summer the another everything those whose choose.
2024-02-08,04:28:14,Cash,Entertainment,Subscription,Expense,1677.26,Third fight himself suddenly traditional size try.
2023-09-09,15:36:57,Cash,Health,Gym,Expense,522.45,Trouble image wind party.
2023-01-29,09:59:25,Online Payment,Health,Doctor,Expense,1861.14,Board happen gas million such region.
2023-10-18,17:31:20,Credit Card,Utilities,Internet,Expense,506.79,Down adult coach represent section performance gas.
2024-05-08,15:18:19,Credit Card,Entertainment,Subscription,Expense,1849.62,Tax her fly professional identify stand.
2023-11-23,15:58:21,Cash,Transport,Taxi,Expense,1991.36,Wide suddenly game least.
2024-05-11,20:32:29,Debit Card,Shopping,Electronics,Expense,1844.8,Maintain suddenly eight clear environmental near future.
2022-07-09,13:20:09,Credit Card,Food,Coffee,Expense,959.76,Loss our hold discuss anything own.
2023-04-03,11:48:12,Cash,Entertainment,Movie,Expense,468.26,Think environmental floor air medical thus ability.
2023-09-30,23:05:27,Credit Card,Transport,Taxi,Expense,981.75,Leave provide story factor camera.
2022-07-30,18:04:54,Credit Card,Shopping,Electronics,Expense,722.82,Institution probably sort quality author.
2024-03-17,08:19:21,Credit Card,Health,Gym,Expense,747.01,Investment both bill situation.
2022-12-11,22:52:31,Debit Card,Health,Gym,Expense,1035.89,Team moment price site wrong ever.
2024-01-14,04:18:25,Cash,Entertainment,Subscription,Expense,1212.15,Cover somebody bad top total reduce recent.
2023-07-16,03:38:45,Cash,Income,Investment,Income,1551.28,Opportunity station ability suffer.
2023-12-06,00:21:49,Cash,Utilities,Electricity,Expense,766.37,Adult possible six life see.
2023-10-30,17:54:57,Debit Card,Shopping,Electronics,Expense,1094.93,Your participant sit I cause happen society.
2023-08-07,09:15:09,Cash,Shopping,Electronics,Expense,1632.16,Avoid material line other effort school about.
2024-05-09,03:21:21,Credit Card,Transport,Train,Expense,1194.29,Enough American over road some stay TV.
2024-04-29,12:45:57,Debit Card,Entertainment,Movie,Expense,1808.86,Third three sister cut product have threat.
2023-04-02,06:02:01,Credit Card,Transport,Taxi,Expense,1055.54,Fund cell change rock before training human bit.
2023-03-09,06:07:51,Debit Card,Transport,Gas,Expense,30.77,Style measure use education.
2024-06-07,16:47:25,Debit Card,Shopping,Electronics,Expense,1775.41,Argue create behavior ten effort kitchen into.
2022-12-14,16:00:59,Cash,Food,Coffee,Expense,413.54,Nature cost red list newspaper up year.
2023-10-25,22:39:39,Credit Card,Entertainment,Event,Expense,36.05,Several red decision assume successful her however.
2023-08-20,03:05:46,Online Payment,Shopping,Clothes,Expense,65.43,Opportunity fish civil.
2023-11-16,23:01:39,Credit Card,Food,Groceries,Expense,64.88,Old with left spring.
2023-10-13,11:20:42,Online Payment,Shopping,Home Goods,Expense,434.29,Statement stay performance Mrs particular fly.
2023-10-02,04:32:06,Online Payment,Shopping,Home Goods,Expense,566.47,Know board stuff factor kind probably sound policy.
2023-05-04,20:40:31,Online Payment,Income,Investment,Income,2492.01,Take call machine computer.
2022-12-22,10:15:59,Credit Card,Health,Gym,Expense,127.38,Relate woman strategy physical.
2022-10-16,18:18:13,Online Payment,Income,Freelance,Income,3959.11,Middle once news develop news like today.
2024-07-08,19:23:16,Cash,Utilities,Electricity,Expense,75.04,More fact behind again everybody always response long.
2024-04-05,13:09:18,Cash,Income,Salary,Income,1039.68,Sense often from reach institution name perform.
2024-05-18,11:43:39,Credit Card,Health,Gym,Expense,596.03,Direction democratic political population.
2023-11-30,06:26:08,Cash,Food,Coffee,Expense,1767.43,Myself direction message age.
2023-04-19,18:51:23,Cash,Health,Gym,Expense,972.39,Final listen certain thus.
2023-04-18,06:29:22,Debit Card,Utilities,Water,Expense,1895.38,Work fill him protect information task light result.
2023-09-23,03:50:40,Online Payment,Entertainment,Subscription,Expense,1439.56,Thought time peace commercial image.
2023-05-01,21:26:08,Credit Card,Entertainment,Event,Expense,1207.11,Suddenly myself imagine kitchen bag read.
2023-05-02,23:17:01,Credit Card,Income,Investment,Income,2216.85,Water miss keep.
2023-03-03,09:30:02,Debit Card,Health,Gym,Expense,523.13,Special factor spend.
2024-05-02,19:00:33,Credit Card,Entertainment,Event,Expense,511.56,Wind method gun go base sign this strong.
2022-07-25,05:16:04,Credit Card,Health,Pharmacy,Expense,1849.5,Someone west their free.
2022-09-06,06:58:41,Cash,Transport,Taxi,Expense,296.28,Run what general personal town early accept nation.
2023-06-06,04:06:39,Debit Card,Health,Gym,Expense,1249.62,Reach leg bring accept employee box.
2022-09-04,11:51:15,Online Payment,Health,Pharmacy,Expense,1957.7,Threat house her move a in.
2023-11-19,06:59:51,Debit Card,Income,Investment,Income,2572.69,Well arm participant government so yet.
2023-02-19,05:13:48,Online Payment,Health,Gym,Expense,1241.45,Present fine fear big watch management reduce.
2024-03-10,01:23:08,Online Payment,Food,Restaurant,Expense,170.42,Hard according east threat year.
2022-12-15,15:23:36,Debit Card,Health,Gym,Expense,39.0,Summer color information south write pattern.
2022-11-24,22:25:44,Credit Card,Income,Freelance,Income,4618.7,Fast spring produce general parent heart.
2023-10-18,12:54:32,Cash,Transport,Bus,Expense,1109.13,Information since both very along son make time.
2024-03-03,10:05:43,Credit Card,Food,Coffee,Expense,1192.33,Direction security window send the live economic.
2022-10-02,01:53:40,Online Payment,Utilities,Electricity,Expense,1390.75,Safe significant first sing.
2024-04-05,16:29:20,Cash,Shopping,Clothes,Expense,246.66,Raise report heart heart that American life.
2023-11-10,00:27:49,Credit Card,Utilities,Electricity,Expense,945.97,Tv it ask information season eat.
2023-05-28,12:10:28,Online Payment,Food,Restaurant,Expense,365.72,Story yet occur lot hit forward glass speak.
2023-04-02,05:44:06,Cash,Utilities,Electricity,Expense,474.96,Leave military daughter be cause bring growth.
2023-08-11,03:29:06,Debit Card,Utilities,Electricity,Expense,1910.48,Until American need outside who respond plant.
2023-02-02,18:51:23,Credit Card,Shopping,Home Goods,Expense,1597.3,Option a police team better court name among.
2023-05-06,17:15:18,Online Payment,Food,Coffee,Expense,1514.88,Explain call newspaper get newspaper ready country.
2024-02-12,18:50:02,Debit Card,Income,Investment,Income,1081.72,Include positive join plant ever such able.
2023-02-23,03:46:35,Online Payment,Shopping,Home Goods,Expense,1065.55,American several theory people culture ability.
2022-09-13,18:30:22,Credit Card,Transport,Bus,Expense,1916.39,Politics town recent blue politics firm phone.
2022-11-25,16:35:30,Debit Card,Health,Pharmacy,Expense,630.27,Relate modern owner it message.
2023-08-08,08:39:15,Debit Card,Entertainment,Subscription,Expense,1717.5,Today method know not prepare important.
2022-09-09,22:35:20,Debit Card,Health,Doctor,Expense,401.24,Nation arm their he wish.
2023-01-16,02:50:50,Online Payment,Health,Gym,Expense,1109.32,Story alone forward wait occur first test.
2024-02-14,18:52:10,Online Payment,Health,Pharmacy,Expense,947.22,Better value fly hospital.
2023-12-26,13:01:19,Online Payment,Health,Gym,Expense,1164.09,Garden piece sign large myself carry garden.
2023-06-18,11:53:50,Credit Card,Entertainment,Event,Expense,1445.72,Common level let great performance simply put detail.
2024-04-01,09:01:59,Cash,Utilities,Water,Expense,1270.95,East than parent indicate.
2023-06-16,02:57:48,Online Payment,Income,Investment,Income,2832.52,Wrong provide blue manage player.
2022-07-21,03:32:30,Credit Card,Shopping,Home Goods,Expense,1214.31,Small long create.
2022-10-31,02:15:41,Cash,Health,Pharmacy,Expense,1015.84,Daughter nice resource.
2022-12-18,14:31:34,Credit Card,Transport,Gas,Expense,1453.16,Mrs above husband point.
2024-01-31,23:42:42,Credit Card,Shopping,Clothes,Expense,1768.23,Southern size run reason act left hundred.
2024-03-07,04:34:22,Cash,Food,Coffee,Expense,1515.47,Relate theory magazine cup create air.
2024-03-08,17:58:14,Cash,Utilities,Water,Expense,1907.04,State huge his participant.
2023-09-05,00:06:32,Online Payment,Shopping,Home Goods,Expense,1401.91,Find west include environment president station.
2024-07-06,22:54:08,Online Payment,Utilities,Water,Expense,589.89,Stuff safe glass PM since loss.
2024-01-26,19:43:44,Credit Card,Transport,Bus,Expense,148.8,Kid many space live measure agree guy.
2024-04-06,17:25:05,Debit Card,Utilities,Internet,Expense,592.16,When effect join example agency.
